ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1970-05-24,86.87885423617709,78.48930877148861,95.86269256834922,86.87885423617709,86.87885423617709,0.0,0.0,0.0,0.0,0.0,0.0,86.87885423617709
1970-05-25,86.88449587430586,78.5291095219431,94.36350289753796,86.88449587430586,86.88449587430586,0.0,0.0,0.0,0.0,0.0,0.0,86.88449587430586
1970-06-02,86.92962897933597,78.81369952865789,97.28958998990312,86.92962897933597,86.92962897933597,0.0,0.0,0.0,0.0,0.0,0.0,86.92962897933597
1970-06-03,86.9352706174559,77.42164850927522,94.92599206982497,86.9352706174559,86.9352706174559,0.0,0.0,0.0,0.0,0.0,0.0,86.9352706174559
1970-06-05,86.94655389377935,77.77756747470137,92.44623149090603,86.94655389377935,86.94655389377935,0.0,0.0,0.0,0.0,0.0,0.0,86.94655389377935
1970-06-07,86.9578371701028,76.68765310206663,95.1014946838288,86.9578371701028,86.9578371701028,0.0,0.0,0.0,0.0,0.0,0.0,86.9578371701028
1970-06-16,87.00861191365885,78.62726848473503,95.73877944080222,87.00861191365885,87.00861191365885,0.0,0.0,0.0,0.0,0.0,0.0,87.00861191365885
1970-06-17,87.01425355183176,78.07337778632619,96.7527888406885,87.01425355183176,87.01425355183176,0.0,0.0,0.0,0.0,0.0,0.0,87.01425355183176
1970-06-20,87.03117846635044,78.80061078739195,97.69165098566924,87.03117846635044,87.03117846635044,0.0,0.0,0.0,0.0,0.0,0.0,87.03117846635044
1970-06-22,87.04246174269623,80.72934535416216,97.46898423648135,87.04246174269623,87.04246174269623,0.0,0.0,0.0,0.0,0.0,0.0,87.04246174269623
1970-06-23,87.04810338086914,79.5759772782808,97.13327976819541,87.04810338086914,87.04810338086914,0.0,0.0,0.0,0.0,0.0,0.0,87.04810338086914
1970-07-11,87.14965286798123,79.44524277804095,97.0299580626785,87.14965286798123,87.14965286798123,0.0,0.0,0.0,0.0,0.0,0.0,87.14965286798123
1970-07-18,87.18914433519151,79.7710100155204,96.07790730622202,87.18914433519151,87.18914433519151,0.0,0.0,0.0,0.0,0.0,0.0,87.18914433519151
1970-07-19,87.1947859733644,79.78267133007392,96.99494432613876,87.1947859733644,87.1947859733644,0.0,0.0,0.0,0.0,0.0,0.0,87.1947859733644
1970-07-22,87.21171088788309,80.25925514386242,93.21690555595623,87.21171088788309,87.21171088788309,0.0,0.0,0.0,0.0,0.0,0.0,87.21171088788309
1970-09-17,87.53328426373811,78.98116987581011,97.3015768007208,87.53328426373812,87.53328426373811,0.0,0.0,0.0,0.0,0.0,0.0,87.53328426373811
1970-09-18,87.538925901911,79.49069988318676,96.35483447703012,87.538925901911,87.538925901911,0.0,0.0,0.0,0.0,0.0,0.0,87.538925901911
1970-09-19,87.54456754008389,75.72853406451797,97.95893067043251,87.54456754008389,87.54456754008389,0.0,0.0,0.0,0.0,0.0,0.0,87.54456754008389
1970-09-20,87.5502091782568,78.22961728362495,93.96954502864541,87.55020917825681,87.55020917826926,0.0,0.0,0.0,0.0,0.0,0.0,87.5502091782568
1970-09-21,87.55585081642968,77.22486488774857,95.28066466432766,87.55585081628789,87.55585081812274,0.0,0.0,0.0,0.0,0.0,0.0,87.55585081642968
1970-09-22,87.56149245460257,80.54165893441545,97.99287682677216,87.56149244943185,87.56149245841875,0.0,0.0,0.0,0.0,0.0,0.0,87.56149245460257
1970-09-23,87.56713409277548,76.70786089607242,94.57223267601111,87.56713408539632,87.56713410170423,0.0,0.0,0.0,0.0,0.0,0.0,87.56713409277548
1970-09-24,87.57277573094836,77.37714985652688,97.00236721927703,87.57277571870605,87.57277574234097,0.0,0.0,0.0,0.0,0.0,0.0,87.57277573094836
1970-09-25,87.57841736912125,80.28886160208532,97.2606046928883,87.5784173490233,87.57841738595368,0.0,0.0,0.0,0.0,0.0,0.0,87.57841736912125
1970-09-26,87.58405900729416,79.02657184093228,94.54198911973998,87.58405897708639,87.58405902972933,0.0,0.0,0.0,0.0,0.0,0.0,87.58405900729416
1970-09-27,87.58970064546705,76.11746456707615,96.65164234902944,87.58970060980484,87.58970067296751,0.0,0.0,0.0,0.0,0.0,0.0,87.58970064546705
