ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1970-01-26,130.49474088875564,120.11352868386545,138.96264055811525,130.49474088875564,130.49474088875564,0.0,0.0,0.0,0.0,0.0,0.0,130.49474088875564
1970-01-28,130.564224986178,120.82126615245906,143.3566358491414,130.564224986178,130.564224986178,0.0,0.0,0.0,0.0,0.0,0.0,130.564224986178
1970-01-30,130.63370908362404,120.52677132216343,139.8818562086914,130.63370908362404,130.63370908362404,0.0,0.0,0.0,0.0,0.0,0.0,130.63370908362404
1970-02-01,130.70319318107005,121.06750734443095,141.8920072696245,130.70319318107005,130.70319318107005,0.0,0.0,0.0,0.0,0.0,0.0,130.70319318107005
1970-02-03,130.77267727828135,120.10900790779401,140.2915984216047,130.77267727828135,130.77267727828135,0.0,0.0,0.0,0.0,0.0,0.0,130.77267727828135
1970-02-11,131.05061366712656,119.1313491683574,142.60813876833953,131.05061366712656,131.05061366712656,0.0,0.0,0.0,0.0,0.0,0.0,131.05061366712656
1970-02-12,131.0853557158552,118.00285914472394,144.39300536822586,131.0853557158552,131.0853557158552,0.0,0.0,0.0,0.0,0.0,0.0,131.0853557158552
1970-02-15,131.18958186254184,118.55098672675275,143.4990585511099,131.18958186254184,131.18958186254184,0.0,0.0,0.0,0.0,0.0,0.0,131.18958186254184
1970-02-18,131.2938080092285,122.23809487162502,141.99732003446005,131.2938080092285,131.2938080092285,0.0,0.0,0.0,0.0,0.0,0.0,131.2938080092285
1970-02-20,131.36329210760275,122.29765298468244,141.24968774883052,131.36329210760275,131.36329210760275,0.0,0.0,0.0,0.0,0.0,0.0,131.36329210760275
1970-02-22,131.43277620658938,119.90859919898764,143.04214208108024,131.43277620658938,131.43277620658938,0.0,0.0,0.0,0.0,0.0,0.0,131.43277620658938
1970-02-23,131.46751825608268,121.69155849865035,142.17374555969872,131.46751825608268,131.46751825608268,0.0,0.0,0.0,0.0,0.0,0.0,131.46751825608268
1970-02-28,131.64122850429985,119.42266346068716,141.6250823480513,131.64122850429985,131.64122850429985,0.0,0.0,0.0,0.0,0.0,0.0,131.64122850429985
1970-03-01,131.67597063009532,121.51719657131505,142.87406563901897,131.67597063009532,131.67597063009532,0.0,0.0,0.0,0.0,0.0,0.0,131.67597063009532
1970-03-04,131.7801970074817,121.94865018401315,143.02220654011464,131.7801970074817,131.7801970074817,0.0,0.0,0.0,0.0,0.0,0.0,131.7801970074817
1970-03-05,131.81495103427628,120.59983366244205,144.22517947063972,131.81495103427628,131.81495103427628,0.0,0.0,0.0,0.0,0.0,0.0,131.81495103427628
1970-03-11,132.02347519504377,118.47004236399363,144.12006307546858,132.02347519504377,132.02347519504377,0.0,0.0,0.0,0.0,0.0,0.0,132.02347519504377
1970-03-18,132.26675338303383,121.59395611324419,143.3768975317047,132.26675338303383,132.26675338303383,0.0,0.0,0.0,0.0,0.0,0.0,132.26675338303383
